,precision,recall,f1-score,support
daisy,0.9621749408983451,0.6429699842022117,0.7708333333333335,633.0
dandelion,0.49250416435313715,0.987750556792873,0.6572804742497221,898.0
roses,0.9413489736070382,0.500780031201248,0.6537678207739307,641.0
sunflowers,0.9777777777777777,0.4406294706723891,0.6074950690335306,699.0
tulips,0.7670886075949367,0.7584480600750939,0.7627438640654499,799.0
accuracy,0.6891008174386921,0.6891008174386921,0.6891008174386921,0.6891008174386921
macro avg,0.828178892846247,0.6661156205887632,0.6904241122911934,3670.0
weighted avg,0.8041146140040607,0.6891008174386921,0.6897307737425266,3670.0
