,precision,recall,f1-score,support
daisy,0.9655172413793104,0.9731437598736177,0.9693154996066089,633.0
dandelion,0.9626373626373627,0.9755011135857461,0.9690265486725663,898.0
roses,0.9025487256371814,0.9391575663026521,0.9204892966360856,641.0
sunflowers,0.9785407725321889,0.9785407725321889,0.9785407725321889,699.0
tulips,0.9656084656084656,0.9136420525657072,0.9389067524115755,799.0
accuracy,0.955858310626703,0.955858310626703,0.955858310626703,0.955858310626703
macro avg,0.9549705135589018,0.9559970529719823,0.9552557739718051,3670.0
weighted avg,0.9563148944403412,0.955858310626703,0.9558535929916969,3670.0
